time_s,enf_hz
0,50.01527382463522
1,50.01992174478998
2,50.01775580653434
3,50.00874345158271
4,49.98760137874197
5,50.003561198827455
6,49.9885923714782
7,49.98157854469127
8,49.990918175952864
9,49.9952959201597
10,50.00870075077731
